=========================Vanilla++ Admin Tools Session Logs=========================
Logs Started: 2022-9-27_23-1-19
====================================================================================
23:1:19 | [PermissionManager] Perm (DeleteObjectAtCrosshair) has been registered!
23:1:19 | [PermissionManager] Perm (TeleportToCrosshair) has been registered!
23:1:19 | [PermissionManager] Perm (FreeCamera) has been registered!
23:1:19 | [PermissionManager] Perm (RepairVehiclesAtCrosshair) has been registered!
23:1:19 | [PermissionManager] Perm (MenuItemManager) has been registered!
23:1:19 | [PermissionManager] Perm (MenuItemManager:SpawnItem) has been registered!
23:1:19 | [PermissionManager] Perm (MenuItemManager:EditPreset) has been registered!
23:1:19 | [PermissionManager] Perm (MenuItemManager:SpawnPreset) has been registered!
23:1:19 | [PermissionManager] Perm (MenuItemManager:DeletePreset) has been registered!
23:1:19 | [PermissionManager] Perm (MenuItemManager:AddPreset) has been registered!
23:1:19 | [PermissionManager] Perm (MenuServerManager) has been registered!
23:1:19 | [PermissionManager] Perm (ServerManager:RestartServer) has been registered!
23:1:19 | [PermissionManager] Perm (ServerManager:LockServer) has been registered!
23:1:19 | [PermissionManager] Perm (ServerManager:KickAllPlayers) has been registered!
23:1:19 | [PermissionManager] Perm (ServerManager:LoadScripts) has been registered!
23:1:19 | [PermissionManager] Perm (MenuWeatherManager) has been registered!
23:1:19 | [PermissionManager] Perm (WeatherManager:ApplyWeather) has been registered!
23:1:19 | [PermissionManager] Perm (WeatherManager:ApplyTime) has been registered!
23:1:19 | [PermissionManager] Perm (WeatherManager:SavePreset) has been registered!
23:1:19 | [PermissionManager] Perm (WeatherManager:DeletePreset) has been registered!
23:1:19 | [PermissionManager] Perm (WeatherManager:ApplyPreset) has been registered!
23:1:19 | [PermissionManager] Perm (WeatherManager:ApplyTimePreset) has been registered!
23:1:19 | [PermissionManager] Perm (WeatherManager:SaveTimePreset) has been registered!
23:1:19 | [PermissionManager] Perm (WeatherManager:DeleteTimePreset) has been registered!
23:1:19 | [PermissionManager] Perm (MenuObjectManager) has been registered!
23:1:19 | [PermissionManager] Perm (MenuObjectManager:CreateNewSet) has been registered!
23:1:19 | [PermissionManager] Perm (MenuObjectManager:UpdateSet) has been registered!
23:1:19 | [PermissionManager] Perm (MenuObjectManager:DeleteSet) has been registered!
23:1:19 | [PermissionManager] Perm (MenuObjectManager:EditSet) has been registered!
23:1:19 | [PermissionManager] Perm (MenuPermissionsEditor) has been registered!
23:1:19 | [PermissionManager] Perm (PermissionsEditor:RemoveUser) has been registered!
23:1:19 | [PermissionManager] Perm (PermissionsEditor:AddUser) has been registered!
23:1:19 | [PermissionManager] Perm (PermissionsEditor:CreateUserGroup) has been registered!
23:1:19 | [PermissionManager] Perm (PermissionsEditor:DeleteUserGroup) has been registered!
23:1:19 | [PermissionManager] Perm (PermissionsEditor:ChangePermLevel) has been registered!
23:1:19 | [PermissionManager] Perm (MenuPlayerManager) has been registered!
23:1:19 | [PermissionManager] Perm (PlayerManager:GiveGodmode) has been registered!
23:1:19 | [PermissionManager] Perm (PlayerManager:BanPlayer) has been registered!
23:1:19 | [PermissionManager] Perm (PlayerManager:KickPlayer) has been registered!
23:1:19 | [PermissionManager] Perm (PlayerManager:HealPlayers) has been registered!
23:1:19 | [PermissionManager] Perm (PlayerManager:SetPlayerStats) has been registered!
23:1:19 | [PermissionManager] Perm (PlayerManager:KillPlayers) has been registered!
23:1:19 | [PermissionManager] Perm (PlayerManager:GodMode) has been registered!
23:1:19 | [PermissionManager] Perm (PlayerManager:SpectatePlayer) has been registered!
23:1:19 | [PermissionManager] Perm (PlayerManager:TeleportToPlayer) has been registered!
23:1:19 | [PermissionManager] Perm (PlayerManager:TeleportPlayerTo) has been registered!
23:1:19 | [PermissionManager] Perm (PlayerManager:SetPlayerInvisible) has been registered!
23:1:19 | [PermissionManager] Perm (PlayerManager:SendMessage) has been registered!
23:1:19 | [PermissionManager] Perm (PlayerManager:GiveUnlimitedAmmo) has been registered!
23:1:19 | [PermissionManager] Perm (PlayerManager:MakePlayerVomit) has been registered!
23:1:19 | [PermissionManager] Perm (PlayerManager:FreezePlayers) has been registered!
23:1:19 | [PermissionManager] Perm (PlayerManager:ChangeScale) has been registered!
23:1:19 | [PermissionManager] Perm (MenuBansManager) has been registered!
23:1:19 | [PermissionManager] Perm (BansManager:UnbanPlayer) has been registered!
23:1:19 | [PermissionManager] Perm (BansManager:UpdateBanDuration) has been registered!
23:1:19 | [PermissionManager] Perm (BansManager:UpdateBanReason) has been registered!
23:1:19 | [PermissionManager] Perm (MenuWebHooks) has been registered!
23:1:19 | [PermissionManager] Perm (MenuWebHooks:Create) has been registered!
23:1:19 | [PermissionManager] Perm (MenuWebHooks:Edit) has been registered!
23:1:19 | [PermissionManager] Perm (MenuWebHooks:Delete) has been registered!
23:1:19 | [PermissionManager] Perm (MenuTeleportManager) has been registered!
23:1:19 | [PermissionManager] Perm (TeleportManager:ViewPlayerPositions) has been registered!
23:1:19 | [PermissionManager] Perm (TeleportManager:TPPlayers) has been registered!
23:1:19 | [PermissionManager] Perm (TeleportManager:TPSelf) has been registered!
23:1:19 | [PermissionManager] Perm (TeleportManager:DeletePreset) has been registered!
23:1:19 | [PermissionManager] Perm (TeleportManager:AddNewPreset) has been registered!
23:1:19 | [PermissionManager] Perm (TeleportManager:EditPreset) has been registered!
23:1:19 | [PermissionManager] Perm (TeleportManager:TeleportEntity) has been registered!
23:1:19 | [PermissionManager] Perm (EspToolsMenu) has been registered!
23:1:19 | [PermissionManager] Perm (EspToolsMenu:DeleteObjects) has been registered!
23:1:19 | [PermissionManager] Perm (EspToolsMenu:PlayerESP) has been registered!
23:1:19 | [PermissionManager] Perm (EspToolsMenu:RestPasscodeFence) has been registered!
23:1:19 | [PermissionManager] Perm (EspToolsMenu:RetriveCodeFromObj) has been registered!
23:1:19 | [PermissionManager] Perm (EspToolsMenu:PlayerMeshEsp) has been registered!
23:1:19 | [PermissionManager] Perm (EspToolsMenu:InstantBaseBuild) has been registered!
23:1:19 | [PermissionManager] Perm (MenuXMLEditor) has been registered!
23:1:19 | [PermissionManager] Perm (MenuCommandsConsole) has been registered!
23:1:19 | [PermissionManager] Adding Super Admin (76561198095923512)
23:1:19 | [PermissionManager] Loaded UserGroups.json
23:1:19 | [PermissionManager] Perm (Chat:StripPlayer) has been registered!
23:1:19 | [PermissionManager] Perm (Chat:KillPlayer) has been registered!
23:1:19 | [PermissionManager] Perm (Chat:HealPlayer) has been registered!
23:1:19 | [PermissionManager] Perm (Chat:BringPlayer) has been registered!
23:1:19 | [PermissionManager] Perm (Chat:ReturnPlayer) has been registered!
23:1:19 | [PermissionManager] Perm (Chat:GotoPlayer) has been registered!
23:1:19 | [PermissionManager] Perm (Chat:UnbanPlayer) has been registered!
23:1:19 | [PermissionManager] Perm (Chat:TeleportToTown) has been registered!
23:1:19 | [PermissionManager] Perm (Chat:TeleportToPoint) has been registered!
23:1:19 | [PermissionManager] Perm (Chat:GiveAmmo) has been registered!
23:1:19 | [PermissionManager] Perm (Chat:SpawnInventory) has been registered!
23:1:19 | [PermissionManager] Perm (Chat:SpawnOnGround) has been registered!
23:1:19 | [PermissionManager] Perm (Chat:SpawnInHands) has been registered!
23:1:19 | [PermissionManager] Perm (Chat:SpawnCar) has been registered!
23:1:19 | [PermissionManager] Perm (Chat:refuelCar) has been registered!
23:1:19 | [TimeManager] Loading Json File $profile:VPPAdminTools/ConfigurablePlugins/TimeManager/TimeSettingsPresets.json
23:1:19 | Building Sets Loaded: 0
23:1:19 | [SteamAPIManager] ERROR No steam API key configured, and or key is invalid.
23:1:19 | [BansManager]:: Load(): Loading ban list Json File $profile:VPPAdminTools/BanList.json
23:1:19 | [WeatherManager] Loading Json File $profile:VPPAdminTools/ConfigurablePlugins/WeatherManager/WeatherSettingsPresets.json
23:3:5 | Player "BeefySTi" (steamId=76561198095923512) connected to server!
23:3:9 | Player "BeefySTi" (steamId=76561198095923512) connected to server!
23:3:57 | "76561198095923512" (steamid=76561198095923512) teleported to (pos=<8114.080078, 418.249939, 13727.900391>)
23:3:57 | "BeefySTi": (steamid=76561198095923512) teleported to (pos=8114.08,0,13727.9)
23:5:0 | "BeefySTi" (steamid=76561198095923512) Spawned Item: (CivilianSedan)
23:5:4 | "BeefySTi" (steamid=76561198095923512) Spawned Item: (CivilianSedan)
23:5:26 | "BeefySTi" (steamid=76561198095923512) Spawned Item: (MCK_CarKey_White)
23:5:33 | "BeefySTi" (steamid=76561198095923512) Spawned Item: (MCK_CarKeyTag_OlgaWhite)
23:5:58 | "BeefySTi" (steamid=76561198095923512) Spawned Item: (CamoNet)
23:15:57 | "76561198095923512" (steamid=76561198095923512) teleported to (pos=<13959.700195, 514.190002, 3815.830078>)
23:15:57 | "BeefySTi": (steamid=76561198095923512) teleported to (pos=13959.7,0,3815.83)
23:16:3 | "BeefySTi" (steamid=76561198095923512) toggled godmode
23:17:19 | "BeefySTi" (steamid=76561198095923512) healed player (steamid=76561198095923512)
23:17:20 | "BeefySTi" (steamid=76561198095923512) just updated a health stat on (steamid=76561198095923512)
23:18:7 | "76561198095923512" (steamid=76561198095923512) teleported to (pos=<11936.700195, 351.329742, 8973.070313>)
23:18:7 | "BeefySTi": (steamid=76561198095923512) teleported to (pos=11936.7,0,8973.07)
23:18:22 | "BeefySTi" (steamid=76561198095923512) gave godmode to (steamid=76561198095923512)
23:18:22 | "BeefySTi" (steamid=76561198095923512) healed player (steamid=76561198095923512)
23:18:23 | "BeefySTi" (steamid=76561198095923512) gave godmode to (steamid=76561198095923512)
23:18:42 | "BeefySTi" (steamid=76561198095923512) just updated a health stat on (steamid=76561198095923512)
23:18:44 | "BeefySTi" (steamid=76561198095923512) just updated a health stat on (steamid=76561198095923512)
23:18:48 | "BeefySTi" (steamid=76561198095923512) just updated a health stat on (steamid=76561198095923512)
23:18:49 | "BeefySTi" (steamid=76561198095923512) gave godmode to (steamid=76561198095923512)
23:18:50 | "BeefySTi" (steamid=76561198095923512) just updated a health stat on (steamid=76561198095923512)
23:19:4 | "BeefySTi" (steamid=76561198095923512) just updated a health stat on (steamid=76561198095923512)
23:19:6 | "BeefySTi" (steamid=76561198095923512) just updated a health stat on (steamid=76561198095923512)
23:19:7 | "BeefySTi" (steamid=76561198095923512) just updated a health stat on (steamid=76561198095923512)
23:19:8 | "BeefySTi" (steamid=76561198095923512) healed player (steamid=76561198095923512)
23:19:10 | "BeefySTi" (steamid=76561198095923512) gave godmode to (steamid=76561198095923512)
23:19:13 | "BeefySTi" (steamid=76561198095923512) gave godmode to (steamid=76561198095923512)
23:19:16 | "BeefySTi" (steamid=76561198095923512) healed player (steamid=76561198095923512)
23:19:27 | "BeefySTi" (steamid=76561198095923512) gave godmode to (steamid=76561198095923512)
23:19:28 | "BeefySTi" (steamid=76561198095923512) gave godmode to (steamid=76561198095923512)
23:19:31 | "BeefySTi" (steamid=76561198095923512) just updated a health stat on (steamid=76561198095923512)
23:19:32 | "BeefySTi" (steamid=76561198095923512) just updated a health stat on (steamid=76561198095923512)
23:19:34 | "BeefySTi" (steamid=76561198095923512) just updated a health stat on (steamid=76561198095923512)
23:19:34 | "BeefySTi" (steamid=76561198095923512) just updated a health stat on (steamid=76561198095923512)
23:19:34 | "BeefySTi" (steamid=76561198095923512) just updated a health stat on (steamid=76561198095923512)
23:19:35 | "BeefySTi" (steamid=76561198095923512) just updated a health stat on (steamid=76561198095923512)
23:19:35 | "BeefySTi" (steamid=76561198095923512) just updated a health stat on (steamid=76561198095923512)
23:19:46 | "BeefySTi" (steamid=76561198095923512) gave godmode to (steamid=76561198095923512)
23:19:48 | "BeefySTi" (steamid=76561198095923512) gave godmode to (steamid=76561198095923512)
23:19:49 | "BeefySTi" (steamid=76561198095923512) just updated a health stat on (steamid=76561198095923512)
23:19:53 | "BeefySTi" (steamid=76561198095923512) just updated a health stat on (steamid=76561198095923512)
23:19:55 | "BeefySTi" (steamid=76561198095923512) healed player (steamid=76561198095923512)
23:20:5 | Player "BeefySTi" (steamId=76561198095923512) disconnected from server.
23:20:6 | Player "BeefySTi" (steamId=76561198095923512) re-connected to server [canceledLogout]
23:20:46 | "76561198095923512" (steamid=76561198095923512) teleported to (pos=<11915.700195, 351.329742, 8973.440430>)
23:20:46 | "BeefySTi": (steamid=76561198095923512) teleported to (pos=11915.7,0,8973.44)
23:23:45 | "BeefySTi" (steamid=76561198095923512) just updated a health stat on (steamid=76561198095923512)
23:23:46 | "BeefySTi" (steamid=76561198095923512) just updated a health stat on (steamid=76561198095923512)
23:23:48 | "BeefySTi" (steamid=76561198095923512) gave unlimited ammo to (steamid=76561198095923512)
23:25:45 | "BeefySTi": (steamid=76561198095923512) teleported to (pos=Trader)
23:25:58 | Player "BeefySTi" (steamId=76561198095923512) disconnected from server.
0:4:3 | Player "THE STITTIES" (steamId=76561199206265093) connected to server!
0:4:14 | Player "THE STITTIES" (steamId=76561199206265093) connected to server!
0:6:15 | Player "THE STITTIES" (steamId=76561199206265093) disconnected from server.
